unique_id,author_id,name,username,location,conversation_id,tweet_id,tweet_text,reply_to_tweet_id,tweet_created_at,sentiment,positive_score,neutral_score,negative_score,file_created_date,score,sentiment_desc
83888c5c-ff67-4567-8b27-bdaa1a4827bd,1728871171867717632,LeFISC.eth,EthLefisc36211,N/A,1743958964268651003,1743958964268651003,"🔗This СryрtоРump so awesome!🔗 $BTC $ETH ⏩ https://t.co/lqAAZtV6Mq 

@vinaykumarbhati @Rishabh841 @BI_Prof_Bbsr @Shivam81682882",N/A,2024-01-07 17:03:12,neutral,0.09,0.89,0.02,2024-01-07 17:37:58,8.9,Neutral
c3104798-d310-4830-83d4-054ca29a633a,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1104775446049120257,1742537402957389893,@BI_Prof_Bbsr @PinkuTruerider @SirJadeja replied to satya bhai,1738210505867882496,2024-01-03 18:54:26,neutral,0.1,0.88,0.01,2024-01-07 17:37:58,8.8,Neutral
330e4bcb-2057-416a-83be-e47021ae4053,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1742533236331557264,1742533236331557264,@BI_Prof_Bbsr single mention mein reply id kyun aa rha he ??? fix the bug,1738210505867882496,2024-01-03 18:37:52,negative,0.12,0.25,0.63,2024-01-07 17:37:58,6.3,Negative
3f85ecb7-c4c7-4f8e-a1c4-a612c7be5f5d,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1742532935146934328,1742532935146934328,"hey there
@BI_Prof_Bbsr ... sungle mention",N/A,2024-01-03 18:36:41,neutral,0.05,0.94,0.01,2024-01-07 17:37:58,9.399999999999999,Neutral
86d6a19d-2ab5-4501-9230-9b833775f5d5,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1742519742563569684,1742519742563569684,"hey there @BI_Prof_Bbsr @twitter
@TwitterMoments @XSpaces",N/A,2024-01-03 17:44:15,neutral,0.16,0.83,0.01,2024-01-07 17:37:58,8.299999999999999,Neutral
bc82f93a-a5cc-4c9e-aa47-b7fa48f4c3bd,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1742496544882840061,1742496544882840061,@BI_Prof_Bbsr where are you reply me 😡,1738210505867882496,2024-01-03 16:12:04,negative,0.03,0.25,0.72,2024-01-07 17:37:58,7.199999999999999,Negative
2578d9f4-1f8e-4803-94ed-2e2a713cbb00,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1742496409994002923,1742496409994002923,@BI_Prof_Bbsr hey there .. this has been posted as a mention in public feed,1738210505867882496,2024-01-03 16:11:32,neutral,0.01,0.98,0.01,2024-01-07 17:37:58,9.8,Neutral
aaee126c-486a-4145-9ac2-dd0f908afa46,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738215413081927917,1742085301244178670,"@BI_Prof_Bbsr it's Mind Blowing, Opened my Eyes,  haa haa",1738210505867882496,2024-01-02 12:57:56,positive,0.62,0.33,0.04,2024-01-07 17:37:58,6.2,Positive
c1d448fa-756e-4ea5-a380-0cb981e1c2b0,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738215413081927917,1742085275357004230,@BI_Prof_Bbsr 😡,1738210505867882496,2024-01-02 12:57:50,negative,0.05,0.25,0.7,2024-01-07 17:37:58,7.0,Negative
e7cf02fc-681f-4c21-a064-fc415275c1e9,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738213282694221936,1742079167510757862,"@BI_Prof_Bbsr I tried watching this video upside down, thinking it would reveal hidden secrets.",1738210505867882496,2024-01-02 12:33:34,neutral,0.08,0.62,0.3,2024-01-07 17:37:58,6.2,Negatively Neutral
